log_id,template,variables,original
1224,<DATE> [INFO] database <P_ID> <*> checkpoint requested by <*> rlog free <*> used <*>,"['2025-04-30 00:05:46.295', 'P0000009826', 'T0000000000000011334', 'CKPT2_FLUSH_THREAD,', 'space[21419017216],', 's']","2025-04-30 00:05:46.295 [INFO] database P0000009826 T0000000000000011334  checkpoint requested by CKPT2_FLUSH_THREAD, rlog free space[21419017216], used space[55811072]"
1225,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint begin, <*> <*>","['2025-04-30 00:05:46.295', 'P0000009826', 'T0000000000000011', 'used_space[55831040],', 'f']","2025-04-30 00:05:46.295 [INFO] database P0000009826 T0000000000000011334  checkpoint begin, used_space[55831040], free_space[21418997248]..."
1226,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:05:46.531', 'P0000009826', 'T0000000000000011', 'b']",2025-04-30 00:05:46.531 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 begin
1227,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:05:46.531', 'P0000009826', 'T0000000000000011', 'e']",2025-04-30 00:05:46.531 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 end
1228,<DATE> [INFO] database <P_ID> <*> ckpt2_log_adjust: full_status: <*> ptx_reserved: <*>,"['2025-04-30 00:05:46.638', 'P0000009826', 'T0000000000000011334', '160,', '0']","2025-04-30 00:05:46.638 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: full_status: 160, ptx_reserved: 0"
1229,"<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_log_adjust: ckpt_lsn(2740272267188), ckpt_fil(0), ckpt_off(2698079744), cur_lsn(2740272314757), l_next_seq(35891291403), g_next_seq(35789969068), cur_free(2750002688), total_space(21474828288), used_space(60653056), free_space(21414175232), n_ep(2)","['2025-04-30 00:05:46.638', 'P0000009826', 'T0000000000000011']","2025-04-30 00:05:46.638 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: ckpt_lsn(2740272267188), ckpt_fil(0), ckpt_off(2698079744), cur_lsn(2740272314757), l_next_seq(35891291403), g_next_seq(35789969068), cur_free(2750002688), total_space(21474828288), used_space(60653056), free_space(21414175232), n_ep(2)"
1230,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint end, <*> pages flushed, <*> <*>","['2025-04-30 00:05:46.638', 'P0000009826', 'T0000000000000011', '749', 'used_space[60653056],', 'f']","2025-04-30 00:05:46.638 [INFO] database P0000009826 T0000000000000011334  checkpoint end, 749 pages flushed, used_space[60653056], free_space[21414175232]."
1231,<DATE> [INFO] database <P_ID> <*> checkpoint requested by <*> rlog free <*> used <*>,"['2025-04-30 00:05:47.137', 'P0000009826', 'T0000000000000011335', 'RLOG_FLUSH_THREAD,', 'space[21340557312],', 's']","2025-04-30 00:05:47.137 [INFO] database P0000009826 T0000000000000011335  checkpoint requested by RLOG_FLUSH_THREAD, rlog free space[21340557312], used space[134270976]"
1232,"<DATE> [INFO] database <P_ID> <T_ID>335 checkpoint generated by rlog flush thread, full_status: <STATUS>, ptx_reserved: <RESERVED>",[],"2025-04-30 00:05:47.138 [INFO] database P0000009826 T0000000000000011335  checkpoint generated by rlog flush thread, full_status:161, ptx_reserved:26"
1233,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint begin, <*> <*>","['2025-04-30 00:05:47.138', 'P0000009826', 'T0000000000000011', 'used_space[134270976],', 'f']","2025-04-30 00:05:47.138 [INFO] database P0000009826 T0000000000000011334  checkpoint begin, used_space[134270976], free_space[21340557312]..."
1234,"<DATE> [INFO] database <P_ID> <*> rafil_close_with_trunc <*> to <*> len, <*> ret = 1!","['2025-04-30 00:05:47.197', 'P0000009826', 'T0000000000000009996', 'file[/dbarch/arch_dsc0/ARCHIVE_LOCAL1_0x487AF488_EP0_2025-04-30_00-05-06.log]', '2147301888', 'g_next_seq:35789969169,']","2025-04-30 00:05:47.197 [INFO] database P0000009826 T0000000000000009996  rafil_close_with_trunc file[/dbarch/arch_dsc0/ARCHIVE_LOCAL1_0x487AF488_EP0_2025-04-30_00-05-06.log] to 2147301888 len, g_next_seq:35789969169, ret = 1!"
1235,"<DATE> [INFO] database <P_ID> <T_ID>996 rfil_close_low set arch <*> sta to inactive, l_next_seq = <*> g_next_seq = <*> clsn = <*> handle = <*> <*> <*>","['2025-04-30 00:05:47.197', 'P0000009826', 'T0000000000000009', ""rfil[/dbarch/arch_dsc0/ARCHIVE_LOCAL1_0x487AF488_EP0_2025-04-30_00-05-06.log]'s"", '35789969169,', '35789969169,', '2740272380309,', '304,', 'free=2147301888,', 'l']","2025-04-30 00:05:47.197 [INFO] database P0000009826 T0000000000000009996  rfil_close_low set arch rfil[/dbarch/arch_dsc0/ARCHIVE_LOCAL1_0x487AF488_EP0_2025-04-30_00-05-06.log]'s sta to inactive, l_next_seq = 35789969169, g_next_seq = 35789969169, clsn = 2740272380309, handle = 304, free=2147301888, len=2147301888"
1236,"<DATE> [INFO] database <P_ID> <T_ID>996 Reach space limit of archive file, delete archive log file, db_magic:1216017544, src_db_magic:676801402, <*> <*> <*> <*> file_path: <*>","['2025-04-30 00:05:47.323', 'P0000009826', 'T0000000000000009', 'arch_lsn:2737252237343,', 'arch_seq:35757250903,', 'clsn:2737258211656,', 'next_seq:35757269842,', '/']","2025-04-30 00:05:47.323 [INFO] database P0000009826 T0000000000000009996  Reach space limit of archive file, delete archive log file, db_magic:1216017544, src_db_magic:676801402, arch_lsn:2737252237343, arch_seq:35757250903, clsn:2737258211656, next_seq:35757269842, file_path: /dbarch/arch_dsc0/STANDBY_ARCHIVE_0x28572B7A_EP0_2025-04-28_13-07-00.log"
1237,<DATE> [INFO] database <P_ID> <*> rafil_file_create <*> start,"['2025-04-30 00:05:47.324', 'P0000009826', 'T0000000000000009996', '[/dbarch/arch_dsc0/ARCHIVE_LOCAL1_0x487AF488_EP0_2025-04-30_00-05-47.log]']",2025-04-30 00:05:47.324 [INFO] database P0000009826 T0000000000000009996  rafil_file_create [/dbarch/arch_dsc0/ARCHIVE_LOCAL1_0x487AF488_EP0_2025-04-30_00-05-47.log] start
1238,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:05:47.495', 'P0000009826', 'T0000000000000011', 'b']",2025-04-30 00:05:47.495 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 begin
1239,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:05:47.495', 'P0000009826', 'T0000000000000011', 'e']",2025-04-30 00:05:47.495 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 end
1240,"<DATE> [INFO] database <P_ID> <T_ID>996 rfil_close_low set arch <*> sta to inactive, l_next_seq = <*> g_next_seq = <*> clsn = <*> handle = <*> <*> <*>","['2025-04-30 00:05:51.449', 'P0000009826', 'T0000000000000009', ""rfil[/dbarch/arch_dsc0/ARCHIVE_LOCAL1_0x487AF488_EP0_2025-04-30_00-05-47.log]'s"", '2457,', '2457,', '0,', '535,', 'free=4096,', 'l']","2025-04-30 00:05:51.449 [INFO] database P0000009826 T0000000000000009996  rfil_close_low set arch rfil[/dbarch/arch_dsc0/ARCHIVE_LOCAL1_0x487AF488_EP0_2025-04-30_00-05-47.log]'s sta to inactive, l_next_seq = 2457, g_next_seq = 2457, clsn = 0, handle = 535, free=4096, len=2147483648"
1241,"<DATE> [INFO] database <P_ID> <*> rafil_file_create <*> success, handle = <*>","['2025-04-30 00:05:51.450', 'P0000009826', 'T0000000000000009996', '[/dbarch/arch_dsc0/ARCHIVE_LOCAL1_0x487AF488_EP0_2025-04-30_00-05-47.log]', '4']","2025-04-30 00:05:51.450 [INFO] database P0000009826 T0000000000000009996  rafil_file_create [/dbarch/arch_dsc0/ARCHIVE_LOCAL1_0x487AF488_EP0_2025-04-30_00-05-47.log] success, handle = 428"
1242,"<DATE> [INFO] database <P_ID> <*> rafil_switch_if_necessary, rafil_new_arch_file, rafil create new arch file <*> success","['2025-04-30 00:05:51.450', 'P0000009826', 'T0000000000000009996', '[/dbarch/arch_dsc0/ARCHIVE_LOCAL1_0x487AF488_EP0_2025-04-30_00-05-47.log]']","2025-04-30 00:05:51.450 [INFO] database P0000009826 T0000000000000009996  rafil_switch_if_necessary, rafil_new_arch_file, rafil create new arch file [/dbarch/arch_dsc0/ARCHIVE_LOCAL1_0x487AF488_EP0_2025-04-30_00-05-47.log] success"
1243,<DATE> [INFO] database <P_ID> <*> ckpt2_log_adjust: full_status: <*> ptx_reserved: <*>,"['2025-04-30 00:05:51.468', 'P0000009826', 'T0000000000000011334', '160,', '2']","2025-04-30 00:05:51.468 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: full_status: 160, ptx_reserved: 28"
1244,"<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_log_adjust: ckpt_lsn(2740272279471), ckpt_fil(0), ckpt_off(2710261248), cur_lsn(2740272411385), l_next_seq(35891291513), g_next_seq(35789969178), cur_free(2832405504), total_space(21474828288), used_space(122112512), free_space(21352715776), n_ep(2)","['2025-04-30 00:05:51.470', 'P0000009826', 'T0000000000000011']","2025-04-30 00:05:51.470 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: ckpt_lsn(2740272279471), ckpt_fil(0), ckpt_off(2710261248), cur_lsn(2740272411385), l_next_seq(35891291513), g_next_seq(35789969178), cur_free(2832405504), total_space(21474828288), used_space(122112512), free_space(21352715776), n_ep(2)"
1245,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint end, <*> pages flushed, <*> <*>","['2025-04-30 00:05:51.470', 'P0000009826', 'T0000000000000011', '1355', 'used_space[122157568],', 'f']","2025-04-30 00:05:51.470 [INFO] database P0000009826 T0000000000000011334  checkpoint end, 1355 pages flushed, used_space[122157568], free_space[21352670720]."
1246,<DATE> [INFO] database <P_ID> <*> checkpoint requested by <*> rlog free <*> used <*>,"['2025-04-30 00:05:51.619', 'P0000009826', 'T0000000000000011335', 'RLOG_FLUSH_THREAD,', 'space[21340583936],', 's']","2025-04-30 00:05:51.619 [INFO] database P0000009826 T0000000000000011335  checkpoint requested by RLOG_FLUSH_THREAD, rlog free space[21340583936], used space[134244352]"
1247,"<DATE> [INFO] database <P_ID> <T_ID>335 checkpoint generated by rlog flush thread, full_status: <STATUS>, ptx_reserved: <RESERVED>",[],"2025-04-30 00:05:51.619 [INFO] database P0000009826 T0000000000000011335  checkpoint generated by rlog flush thread, full_status:161, ptx_reserved:22"
1248,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint begin, <*> <*>","['2025-04-30 00:05:51.619', 'P0000009826', 'T0000000000000011', 'used_space[134244352],', 'f']","2025-04-30 00:05:51.619 [INFO] database P0000009826 T0000000000000011334  checkpoint begin, used_space[134244352], free_space[21340583936]..."
1249,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:05:51.795', 'P0000009826', 'T0000000000000011', 'b']",2025-04-30 00:05:51.795 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 begin
1250,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:05:51.795', 'P0000009826', 'T0000000000000011', 'e']",2025-04-30 00:05:51.795 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 end
1251,<DATE> [INFO] database <P_ID> <*> ckpt2_log_adjust: full_status: <*> ptx_reserved: <*>,"['2025-04-30 00:05:51.904', 'P0000009826', 'T0000000000000011334', '160,', '2']","2025-04-30 00:05:51.904 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: full_status: 160, ptx_reserved: 22"
1252,"<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_log_adjust: ckpt_lsn(2740272411400), ckpt_fil(0), ckpt_off(2832408064), cur_lsn(2740272422711), l_next_seq(35891291605), g_next_seq(35789969270), cur_free(2844518912), total_space(21474828288), used_space(12110848), free_space(21462717440), n_ep(2)","['2025-04-30 00:05:51.904', 'P0000009826', 'T0000000000000011']","2025-04-30 00:05:51.904 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: ckpt_lsn(2740272411400), ckpt_fil(0), ckpt_off(2832408064), cur_lsn(2740272422711), l_next_seq(35891291605), g_next_seq(35789969270), cur_free(2844518912), total_space(21474828288), used_space(12110848), free_space(21462717440), n_ep(2)"
1253,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint end, <*> pages flushed, <*> <*>","['2025-04-30 00:05:51.904', 'P0000009826', 'T0000000000000011', '899', 'used_space[12110848],', 'f']","2025-04-30 00:05:51.904 [INFO] database P0000009826 T0000000000000011334  checkpoint end, 899 pages flushed, used_space[12110848], free_space[21462717440]."
1254,<DATE> [INFO] database <P_ID> <*> checkpoint requested by <*> rlog free <*> used <*>,"['2025-04-30 00:05:51.904', 'P0000009826', 'T0000000000000011334', 'CKPT2_FLUSH_THREAD,', 'space[21462669824],', 's']","2025-04-30 00:05:51.904 [INFO] database P0000009826 T0000000000000011334  checkpoint requested by CKPT2_FLUSH_THREAD, rlog free space[21462669824], used space[12158464]"
1255,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint begin, <*> <*>","['2025-04-30 00:05:51.904', 'P0000009826', 'T0000000000000011', 'used_space[12158464],', 'f']","2025-04-30 00:05:51.904 [INFO] database P0000009826 T0000000000000011334  checkpoint begin, used_space[12158464], free_space[21462669824]..."
1256,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint end, <*> pages flushed, <*> <*>","['2025-04-30 00:05:51.922', 'P0000009826', 'T0000000000000011', '678', 'used_space[13852160],', 'f']","2025-04-30 00:05:51.922 [INFO] database P0000009826 T0000000000000011334  checkpoint end, 678 pages flushed, used_space[13852160], free_space[21460976128]."
1257,<DATE> [INFO] database <P_ID> <*> checkpoint requested by <*> rlog free <*> used <*>,"['2025-04-30 00:05:53.181', 'P0000009826', 'T0000000000000011335', 'RLOG_FLUSH_THREAD,', 'space[21340396544],', 's']","2025-04-30 00:05:53.181 [INFO] database P0000009826 T0000000000000011335  checkpoint requested by RLOG_FLUSH_THREAD, rlog free space[21340396544], used space[134431744]"
1258,"<DATE> [INFO] database <P_ID> <T_ID>335 checkpoint generated by rlog flush thread, full_status: <STATUS>, ptx_reserved: <RESERVED>",[],"2025-04-30 00:05:53.181 [INFO] database P0000009826 T0000000000000011335  checkpoint generated by rlog flush thread, full_status:161, ptx_reserved:14"
1259,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint begin, <*> <*>","['2025-04-30 00:05:53.181', 'P0000009826', 'T0000000000000011', 'used_space[134431744],', 'f']","2025-04-30 00:05:53.181 [INFO] database P0000009826 T0000000000000011334  checkpoint begin, used_space[134431744], free_space[21340396544]..."
1260,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:05:53.723', 'P0000009826', 'T0000000000000011', 'b']",2025-04-30 00:05:53.723 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 begin
1261,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:05:53.723', 'P0000009826', 'T0000000000000011', 'e']",2025-04-30 00:05:53.723 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 end
1262,<DATE> [INFO] database <P_ID> <*> ckpt2_log_adjust: full_status: <*> ptx_reserved: <*>,"['2025-04-30 00:05:53.905', 'P0000009826', 'T0000000000000011334', '160,', '2']","2025-04-30 00:05:53.905 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: full_status: 160, ptx_reserved: 22"
1263,"<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_log_adjust: ckpt_lsn(2740272483005), ckpt_fil(0), ckpt_off(2896649728), cur_lsn(2740272579693), l_next_seq(35891292068), g_next_seq(35789969733), cur_free(2966926848), total_space(21474828288), used_space(70246400), free_space(21404581888), n_ep(2)","['2025-04-30 00:05:53.907', 'P0000009826', 'T0000000000000011']","2025-04-30 00:05:53.907 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: ckpt_lsn(2740272483005), ckpt_fil(0), ckpt_off(2896649728), cur_lsn(2740272579693), l_next_seq(35891292068), g_next_seq(35789969733), cur_free(2966926848), total_space(21474828288), used_space(70246400), free_space(21404581888), n_ep(2)"
1264,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint end, <*> pages flushed, <*> <*>","['2025-04-30 00:05:53.907', 'P0000009826', 'T0000000000000011', '1844', 'used_space[70544384],', 'f']","2025-04-30 00:05:53.907 [INFO] database P0000009826 T0000000000000011334  checkpoint end, 1844 pages flushed, used_space[70544384], free_space[21404283904]."
1265,<DATE> [INFO] database <P_ID> <*> checkpoint requested by <*> rlog free <*> used <*>,"['2025-04-30 00:05:53.907', 'P0000009826', 'T0000000000000011334', 'CKPT2_FLUSH_THREAD,', 'space[21404283904],', 's']","2025-04-30 00:05:53.907 [INFO] database P0000009826 T0000000000000011334  checkpoint requested by CKPT2_FLUSH_THREAD, rlog free space[21404283904], used space[70544384]"
1266,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint begin, <*> <*>","['2025-04-30 00:05:53.908', 'P0000009826', 'T0000000000000011', 'used_space[70544384],', 'f']","2025-04-30 00:05:53.908 [INFO] database P0000009826 T0000000000000011334  checkpoint begin, used_space[70544384], free_space[21404283904]..."
1267,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:05:54.031', 'P0000009826', 'T0000000000000011', 'b']",2025-04-30 00:05:54.031 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 begin
1268,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:05:54.031', 'P0000009826', 'T0000000000000011', 'e']",2025-04-30 00:05:54.031 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 end
1269,<DATE> [INFO] database <P_ID> <*> ckpt2_log_adjust: full_status: <*> ptx_reserved: <*>,"['2025-04-30 00:05:54.170', 'P0000009826', 'T0000000000000011334', '160,', '0']","2025-04-30 00:05:54.170 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: full_status: 160, ptx_reserved: 0"
1270,"<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_log_adjust: ckpt_lsn(2740272578510), ckpt_fil(0), ckpt_off(2966896128), cur_lsn(2740272613025), l_next_seq(35891292148), g_next_seq(35789969813), cur_free(2999159296), total_space(21474828288), used_space(41972736), free_space(21432855552), n_ep(2)","['2025-04-30 00:05:54.171', 'P0000009826', 'T0000000000000011']","2025-04-30 00:05:54.171 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: ckpt_lsn(2740272578510), ckpt_fil(0), ckpt_off(2966896128), cur_lsn(2740272613025), l_next_seq(35891292148), g_next_seq(35789969813), cur_free(2999159296), total_space(21474828288), used_space(41972736), free_space(21432855552), n_ep(2)"
1271,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint end, <*> pages flushed, <*> <*>","['2025-04-30 00:05:54.171', 'P0000009826', 'T0000000000000011', '698', 'used_space[41972736],', 'f']","2025-04-30 00:05:54.171 [INFO] database P0000009826 T0000000000000011334  checkpoint end, 698 pages flushed, used_space[41972736], free_space[21432855552]."
1272,<DATE> [INFO] database <P_ID> <*> checkpoint requested by <*> rlog free <*> used <*>,"['2025-04-30 00:05:54.660', 'P0000009826', 'T0000000000000011335', 'RLOG_FLUSH_THREAD,', 'space[21340598784],', 's']","2025-04-30 00:05:54.660 [INFO] database P0000009826 T0000000000000011335  checkpoint requested by RLOG_FLUSH_THREAD, rlog free space[21340598784], used space[134229504]"
1273,"<DATE> [INFO] database <P_ID> <T_ID>335 checkpoint generated by rlog flush thread, full_status: <STATUS>, ptx_reserved: <RESERVED>",[],"2025-04-30 00:05:54.661 [INFO] database P0000009826 T0000000000000011335  checkpoint generated by rlog flush thread, full_status:161, ptx_reserved:10"
1274,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint begin, <*> <*>","['2025-04-30 00:05:54.661', 'P0000009826', 'T0000000000000011', 'used_space[134229504],', 'f']","2025-04-30 00:05:54.661 [INFO] database P0000009826 T0000000000000011334  checkpoint begin, used_space[134229504], free_space[21340598784]..."
1275,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:05:55.083', 'P0000009826', 'T0000000000000011', 'b']",2025-04-30 00:05:55.083 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 begin
1276,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:05:55.084', 'P0000009826', 'T0000000000000011', 'e']",2025-04-30 00:05:55.084 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 end
1277,<DATE> [INFO] database <P_ID> <*> ckpt2_log_adjust: full_status: <*> ptx_reserved: <*>,"['2025-04-30 00:05:55.216', 'P0000009826', 'T0000000000000011334', '160,', '1']","2025-04-30 00:05:55.216 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: full_status: 160, ptx_reserved: 16"
1278,"<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_log_adjust: ckpt_lsn(2740272581933), ckpt_fil(0), ckpt_off(2967654912), cur_lsn(2740272672615), l_next_seq(35891292243), g_next_seq(35789969908), cur_free(3101121536), total_space(21474828288), used_space(133466624), free_space(21341361664), n_ep(2)","['2025-04-30 00:05:55.216', 'P0000009826', 'T0000000000000011']","2025-04-30 00:05:55.216 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: ckpt_lsn(2740272581933), ckpt_fil(0), ckpt_off(2967654912), cur_lsn(2740272672615), l_next_seq(35891292243), g_next_seq(35789969908), cur_free(3101121536), total_space(21474828288), used_space(133466624), free_space(21341361664), n_ep(2)"
1279,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint end, <*> pages flushed, <*> <*>","['2025-04-30 00:05:55.217', 'P0000009826', 'T0000000000000011', '1151', 'used_space[133513728],', 'f']","2025-04-30 00:05:55.217 [INFO] database P0000009826 T0000000000000011334  checkpoint end, 1151 pages flushed, used_space[133513728], free_space[21341314560]."
1280,<DATE> [INFO] database <P_ID> <*> checkpoint requested by <*> rlog free <*> used <*>,"['2025-04-30 00:05:55.217', 'P0000009826', 'T0000000000000011334', 'CKPT2_FLUSH_THREAD,', 'space[21341314560],', 's']","2025-04-30 00:05:55.217 [INFO] database P0000009826 T0000000000000011334  checkpoint requested by CKPT2_FLUSH_THREAD, rlog free space[21341314560], used space[133513728]"
1281,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint begin, <*> <*>","['2025-04-30 00:05:55.217', 'P0000009826', 'T0000000000000011', 'used_space[133513728],', 'f']","2025-04-30 00:05:55.217 [INFO] database P0000009826 T0000000000000011334  checkpoint begin, used_space[133513728], free_space[21341314560]..."
1282,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:05:55.298', 'P0000009826', 'T0000000000000011', 'b']",2025-04-30 00:05:55.298 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 begin
1283,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:05:55.298', 'P0000009826', 'T0000000000000011', 'e']",2025-04-30 00:05:55.298 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 end
1284,<DATE> [INFO] database <P_ID> <*> ckpt2_log_adjust: full_status: <*> ptx_reserved: <*>,"['2025-04-30 00:05:55.322', 'P0000009826', 'T0000000000000011334', '160,', '1']","2025-04-30 00:05:55.322 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: full_status: 160, ptx_reserved: 12"
1285,"<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_log_adjust: ckpt_lsn(2740272657624), ckpt_fil(0), ckpt_off(3060293632), cur_lsn(2740272673256), l_next_seq(35891292251), g_next_seq(35789969916), cur_free(3102121472), total_space(21474828288), used_space(41827840), free_space(21433000448), n_ep(2)","['2025-04-30 00:05:55.322', 'P0000009826', 'T0000000000000011']","2025-04-30 00:05:55.322 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: ckpt_lsn(2740272657624), ckpt_fil(0), ckpt_off(3060293632), cur_lsn(2740272673256), l_next_seq(35891292251), g_next_seq(35789969916), cur_free(3102121472), total_space(21474828288), used_space(41827840), free_space(21433000448), n_ep(2)"
1286,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint end, <*> pages flushed, <*> <*>","['2025-04-30 00:05:55.322', 'P0000009826', 'T0000000000000011', '749', 'used_space[41827840],', 'f']","2025-04-30 00:05:55.322 [INFO] database P0000009826 T0000000000000011334  checkpoint end, 749 pages flushed, used_space[41827840], free_space[21433000448]."
1287,<DATE> [INFO] database <P_ID> <*> checkpoint requested by <*> rlog free <*> used <*>,"['2025-04-30 00:05:55.322', 'P0000009826', 'T0000000000000011334', 'CKPT2_FLUSH_THREAD,', 'space[21433000448],', 's']","2025-04-30 00:05:55.322 [INFO] database P0000009826 T0000000000000011334  checkpoint requested by CKPT2_FLUSH_THREAD, rlog free space[21433000448], used space[41827840]"
1288,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint begin, <*> <*>","['2025-04-30 00:05:55.322', 'P0000009826', 'T0000000000000011', 'used_space[41827840],', 'f']","2025-04-30 00:05:55.322 [INFO] database P0000009826 T0000000000000011334  checkpoint begin, used_space[41827840], free_space[21433000448]..."
1289,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint end, <*> pages flushed, <*> <*>","['2025-04-30 00:05:55.392', 'P0000009826', 'T0000000000000011', '701', 'used_space[49952768],', 'f']","2025-04-30 00:05:55.392 [INFO] database P0000009826 T0000000000000011334  checkpoint end, 701 pages flushed, used_space[49952768], free_space[21424875520]."
1290,<DATE> [INFO] database <P_ID> <*> checkpoint requested by <*> rlog free <*> used <*>,"['2025-04-30 00:05:55.923', 'P0000009826', 'T0000000000000011335', 'RLOG_FLUSH_THREAD,', 'space[21340388864],', 's']","2025-04-30 00:05:55.923 [INFO] database P0000009826 T0000000000000011335  checkpoint requested by RLOG_FLUSH_THREAD, rlog free space[21340388864], used space[134439424]"
1291,"<DATE> [INFO] database <P_ID> <T_ID>335 checkpoint generated by rlog flush thread, full_status: <STATUS>, ptx_reserved: <RESERVED>",[],"2025-04-30 00:05:55.923 [INFO] database P0000009826 T0000000000000011335  checkpoint generated by rlog flush thread, full_status:161, ptx_reserved:12"
1292,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint begin, <*> <*>","['2025-04-30 00:05:55.923', 'P0000009826', 'T0000000000000011', 'used_space[134439424],', 'f']","2025-04-30 00:05:55.923 [INFO] database P0000009826 T0000000000000011334  checkpoint begin, used_space[134439424], free_space[21340388864]..."
